municipio,pj,url,ar,tem_pj
Elisiário,Catanduva,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_catanduva,São José do Rio Preto,Não
Embaúba,Olímpia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_olimpia,São José do Rio Preto,Não
Floreal,Nhandeara,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_nhandeara,São José do Rio Preto,Não
Gastão Vidigal,Nhandeara,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_nhandeara,São José do Rio Preto,Não
Guapiaçú,São José do Rio Preto,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_sao_jose,São José do Rio Preto,Não
Guaraci,Olímpia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_olimpia,São José do Rio Preto,Não
Guarani D'Oeste,Ouroeste,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_oroeste,São José do Rio Preto,Não
Guzolândia,Auriflama,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_auriflama,São José do Rio Preto,Não
Ibirá,Catanduva,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_catanduva,São José do Rio Preto,Não
Icém,Nova Granada,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_nova_granada,São José do Rio Preto,Não
Indiaporã,Ouroeste,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_oroeste,São José do Rio Preto,Não
Ipiguá,São JOsé do Rio Preto,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_sao_jose,São José do Rio Preto,Não
Irapuã,Urupês,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_urupes,São José do Rio Preto,Não
Jaborandi,Colina,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_colina,São José do Rio Preto,Não
Jaci,Mirassol,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_mirassol,São José do Rio Preto,Não
Macedônia,Fernandópolis,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_fernandopolis,São José do Rio Preto,Não
Magda,Nhandeara,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_nhandeara,São José do Rio Preto,Não
Marapoama,Itajobi,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_itajobi,São José do Rio Preto,Não
Marinópolis,Palmeira D'Oeste,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_palmeira_oeste,São José do Rio Preto,Não
Mendonça,José Bonifácio,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_jose_bonifacio,São José do Rio Preto,Não
